word,freq_rank,log_freq,concreteness,is_stimulus,pos
japan,1863,-3.2704459080179626,,False,noun
structure,1866,-3.2711443179490782,,False,noun
population,1872,-3.2725377773752373,,False,noun
johnson,1873,-3.2727695865517594,,False,noun
africa,1876,-3.273464272621346,,False,noun
prior,1879,-3.27415784926368,,False,noun
metal,1884,-3.2753113545418118,,False,noun
society,1886,-3.2757719001649312,,False,noun
evening,1892,-3.277150613963797,,False,noun
shoe,1893,-3.2773799746672547,,False,noun
challenge,1894,-3.2776092143040914,,False,noun
hate,1897,-3.2782962080912736,,False,noun
committee,1903,-3.2796669440484556,,False,noun
football,1904,-3.279894980011638,,False,noun
length,1910,-3.281260687055013,,False,noun
host,1912,-3.281714970027296,,False,noun
century,1916,-3.2826221128780624,,False,noun
spot,1920,-3.2835273648616936,,False,noun
self,1921,-3.2837533833325265,,False,noun
movement,1922,-3.28397928423848,,False,noun
wine,1932,-3.286231854028553,,False,noun
database,1934,-3.28668096935493,,False,noun
error,1937,-3.2873537727147464,,False,noun
israel,1942,-3.2884728005997825,,False,noun
ticket,1943,-3.288696260590256,,False,noun
billion,1944,-3.2889196056617265,,False,noun
custom,1948,-3.2898118391176214,,False,noun
facility,1960,-3.292477593667784,,False,noun
distance,1966,-3.2938043599193367,,False,noun
station,1967,-3.2940250940953226,,False,noun
coffee,1968,-3.2942457161381182,,False,noun
audio,1971,-3.2949069106051923,,False,noun
restaurant,1973,-3.295347148333618,,False,noun
direction,1978,-3.296445794206396,,False,noun
seven,1980,-3.296884475538547,,False,noun
reality,1983,-3.2975416678181597,,False,noun
complex,1987,-3.2984163800612945,,False,noun
nation,1990,-3.2990712600274095,,False,noun
golf,1991,-3.29928933408768,,False,noun
yesterday,1993,-3.2997251539756367,,False,noun
driver,1998,-3.300812794118117,,False,noun
german,1999,-3.3010299956639813,,False,noun
thousand,2001,-3.3014640731433,,False,noun
boston,2002,-3.3016809492935764,,False,noun
lee,2006,-3.3025473724874854,,False,noun
doctor,2009,-3.303196057420489,,False,noun
advantage,2019,-3.305351369446624,,False,noun
ten,2024,-3.3064250275506875,,False,noun
carolina,2030,-3.307709923404807,,False,noun
ice,2035,-3.3087777736647213,,False,noun
scott,2042,-3.3102683666324477,,False,noun
exercise,2043,-3.3104808914626753,,False,noun
japanese,2046,-3.311117842662506,,False,noun
beauty,2047,-3.3113299523037933,,False,noun
adult,2048,-3.311541958401195,,False,noun
score,2050,-3.3119656603683665,,False,noun
leader,2057,-3.313445370426414,,False,noun
dance,2059,-3.3138672203691533,,False,noun
dinner,2061,-3.3142886609474975,,False,noun
union,2063,-3.314709692955174,,False,noun
communication,2073,-3.316808752053022,,False,noun
artist,2075,-3.31722734917642,,False,noun
edition,2084,-3.3191060593097763,,False,noun
michigan,2091,-3.3205616801952367,,False,noun
gallery,2094,-3.3211840273023143,,False,noun
ohio,2097,-3.3218054838575393,,False,noun
garden,2099,-3.322219294733919,,False,noun
target,2104,-3.323252100171687,,False,noun
fuck,2112,-3.3248994970523134,,False,noun
brother,2113,-3.3251049829714074,,False,noun
doubt,2115,-3.325515663363148,,False,noun
bush,2119,-3.326335860928751,,False,noun
payment,2125,-3.327563260187278,,False,noun
competition,2126,-3.327767489902729,,False,noun
net,2128,-3.3281756614383227,,False,noun
martin,2136,-3.3298045221640695,,False,noun
earth,2138,-3.330210784571528,,False,noun
winter,2145,-3.3316297176299323,,False,noun
germany,2146,-3.331832044436249,,False,noun
shape,2147,-3.332034277027518,,False,noun
mention,2148,-3.3322364154914434,,False,noun
balance,2149,-3.3324384599156054,,False,noun
element,2152,-3.3330440298234874,,False,noun
ford,2153,-3.3332456989619628,,False,noun
theme,2161,-3.3348556896172914,,False,noun
trust,2165,-3.3356584522893016,,False,noun
capital,2168,-3.336259552014193,,False,noun
brain,2169,-3.3364597338485296,,False,noun
