embedding,bin_index,time_s,mean,sem,count,family
Word2Vec,14,0.9,0.07926539452146629,0.00896849840497647,14,language
Word2Vec,15,1.0,0.09257314033105327,0.00968978440907776,14,language
Word2Vec,16,1.1,0.10154627325372757,0.009479574259014426,14,language
Word2Vec,17,1.2,0.10082259136009354,0.010329820293660702,14,language
Word2Vec,18,1.3,0.09124755880884299,0.010647593099235223,14,language
Word2Vec,19,1.4,0.07730184606183825,0.01098979336336886,14,language
Word2Vec,20,1.5,0.06413744737187341,0.011154453242872458,14,language
Word2Vec,21,1.6,0.05309270143453439,0.010767483492158851,14,language
Word2Vec,22,1.7,0.04532813529058107,0.009516779645208761,14,language
Word2Vec,23,1.8,0.03857865316777508,0.008962059154747178,14,language
Word2Vec,24,1.9,0.034730980688080275,0.008516231530770278,14,language
Word2Vec,25,2.0,0.031183339791238295,0.007709235443705242,14,language
Word2Vec,26,2.1,0.02824842622655902,0.007046992161541265,14,language
Word2Vec,27,2.2,0.027672912452693023,0.00702695632225751,14,language
Word2Vec,28,2.3,0.027470853098011557,0.0071248726405772345,14,language
Word2Vec,29,2.4,0.027229845401020976,0.006649800231599138,14,language
Word2Vec,30,2.5,0.02704639437067338,0.0066714618659430595,14,language
Word2Vec,31,2.6,0.027297460510801886,0.0064913388901124535,14,language
Word2Vec,32,2.7,0.02768277165915342,0.006476910528321396,14,language
Word2Vec,33,2.8,0.026223527377261545,0.00687851463004494,14,language
Word2Vec,34,2.9,0.027767177779878454,0.0071153946415737634,14,language
Word2Vec,35,3.0,0.024332996650667623,0.006469938924092694,14,language
Word2Vec,36,3.1,0.020421614588740956,0.006244092924698894,14,language
Word2Vec,37,3.2,0.01938245298367492,0.006042698633253885,14,language
Word2Vec,38,3.3,0.019446834187326723,0.006320290511551314,14,language
Word2Vec,39,3.4,0.019725699119473878,0.006006884727348858,14,language
Word2Vec,40,3.5,0.022084403009347452,0.005723762031672945,14,language
Word2Vec,41,3.6,0.022205142509378016,0.005324562460329863,14,language
Word2Vec,42,3.7,0.020744965567043507,0.00556426304493103,14,language
Word2Vec,43,3.8,0.023455659825834353,0.005327613272400768,14,language
Word2Vec,44,3.9,0.02291944113480469,0.005526671839725074,14,language
Word2Vec,45,4.0,0.02128019625029134,0.005047935187698281,14,language
Word2Vec,46,4.1,0.021329965834131544,0.0047112862554191445,13,language
Word2Vec,47,4.2,0.023713968917597878,0.004472437116076725,13,language
Word2Vec,48,4.3,0.020419875673776344,0.003848697138734963,13,language
Word2Vec,49,4.4,0.01898675472771827,0.003769795397825564,13,language
